codigo,categoria,descripcion,precio,agotado,foto
"TJX-240925-38","ollas","Olla 20","28000","No","tjx-240925-38.jpg"
"TJX-240925-39","ollas","Olla 24","35000","No","tjx-240925-39.jpg"
"TJX-240925-40","ollas","Olla 28","42000","No","tjx-240925-40.jpg"
"TJX-250415-16","ollas","Olla 7 pcs/juego Hierro","154000","No","tjx-250415-16.jpg"
"0321-1","sartenes","Sarten 28cms Tortillero","30000","No","0321-1.jpg"
"TJX-250815-06","ollas","Conjunto de 16 piezas de la serie belle","165000","No","tjx-250815-06.jpg"
"TJX-250815-08","sartenes","Sarten 20","21000","No","tjx-250815-08.jpg"
"TJX-250815-10","sartenes","Sarten 24cm","26000","No","tjx-250815-10.jpg"
"TJX-250815-11","sartenes","Sarten 28cm","29000","No","tjx-250815-11.jpg"
"KI-W032","woks","Wok de 32 cm","50000","No","ki-w032.jpg"
"KI-T040","ollas","Cazuela de 40 cm","79000","No","ki-t040.jpg"
"UC-TSP120","sartenes","Sarten 20","21000","No","uc-tsp120.jpg"
"UC-TSP124","sartenes","Sarten 24","26000","No","uc-tsp124.jpg"
"UC-TSP128","sartenes","Sarten 28","29000","No","uc-tsp128.jpg"
"TJX-260128-04","accesorios","Caja de cucharas 84 piezas","72000","No","tjx-260128-04.jpg"
"TJX-260130-01","ollas","Olla 36cm Tapa madera y hierro esmaltado","60000","No","tjx-260130-01.jpg"
"TJC-260127-01","accesorios","Tabla de cortar 40x22","10000","No","tjc-260127-01.jpg"
"TJC-260127-02","accesorios","Tabla de cortar 35x18","8000","No","tjc-260127-02.jpg"
"US-TS-W132","woks","Wok 32 cms","45000","No","us-ts-w132.jpg"
"US-TS-C120","ollas","Olla 20","28000","No","us-ts-c120.jpg"
"US-TS-C124","ollas","Olla 24","33000","No","us-ts-c124.jpg"
"US-TS-C128","ollas","Olla 28","38000","No","us-ts-c128.jpg"
"TJX-260128-10","accesorios","Juego de cuchillos 24 piezas","15000","No","tjx-260128-10.jpg"
"TJX-250411-08","ollas","Olla de hierro 38 cm","35000","No","tjx-250411-08.jpg"
"UC-21F20S","sartenes","Sarten Granito 20cm tapa silicón","20000","No",""
"TJX-250814-2","ollas","Olla de Presión","88000","No","tjx-250814-2.jpg"
"0321-2","woks","Comal de granito 30cm","22000","No","0321-2.jpg"
"TJX-220922-11","woks","Wok de granito 32cm","40000","No","tjx-220922-11.jpg"
"X3N","accesorios","Cafetera Negra","19000","No",""
"210917-1","accesorios","Juego de cucharones de silicón","13000","No","210917-1.jpg"
"20210723-4","ollas","Olla Paellera negra 40cm","49975","No","20210723-4.jpg"
"H20210917-1","sartenes","Sartén de 3 divisiones negro","27000","No","h20210917-1.jpg"
"CL-AC-EMP","accesorios","Empaque olla de presión","4500","No","cl-ac-emp.jpg"
"CL-AC-PER","accesorios","Accesorio para tapas de ollas","3500","No","cl-ac-per.jpg"
